X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.850367222,52.71897764,1,CARLOW,Ceatharlach,CARLOW,,C,Co,N,,10000,CARLOW,Ceatharlach,,Carlow,277734,163675,677668,663717,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.336662849,53.95174585,2,CAVAN,An Cabhán,CAVAN,,C,Co,N,,20000,CAVAN,An Cabhán,,Cavan,243599,300462,643541,800474,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.047161722,52.86245232,3,CLARE,An Clár,CLARE,,C,Co,N,,30000,CLARE,An Clár,,Clare,129521,179535,529487,679574,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.764354357,51.98847035,4,CORK,Corcaigh,CORK/CORK CITY,,C,Co,Y,,40000,CORK,Corcaigh,,Cork,147540,82041,547502,582101,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.995404659,54.86611764,5,DONEGAL,Dún na nGall,DONEGAL,,C,Co,Y,,50000,DONEGAL,Dún na nGall,,Donegal,200343,402042,600295,902033,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.313378858,53.38247323,6,DUBLIN,Baile Átha Cliath,FINGAL/SOUTH DUBLIN/DUN LAOGHAIRE-RATHDOWN/DUBLIN CITY,,C,Co,N,,260000,DUBLIN,Baile Átha Cliath,,Dublin,312281,238223,712207,738248,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.944257814,53.37709194,7,GALWAY,Gaillimh,GALWAY/GALWAY CITY,,C,Co,Y,,60000,GALWAY,Gaillimh,,Galway,137207,236712,537171,736739,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.525981259,52.16789593,8,KERRY,Ciarraí,KERRY,,C,Co,Y,,70000,KERRY,Ciarraí,,Kerry,95640,102828,495613,602884,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.866120374,53.21375613,9,KILDARE,Cill Dara,KILDARE,,C,Co,N,,80000,KILDARE,Cill Dara,,Kildare,275800,218719,675734,718749,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.187378756,52.61245167,10,KILKENNY,Cill Chainnigh,KILKENNY,,C,Co,N,,90000,KILKENNY,Cill Chainnigh,,Kilkenny,255096,151510,655034,651555,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.386986896,52.99092851,11,LAOIS,Laois,LAOIS,,C,Co,N,,100000,LAOIS,Laois,,Laois,241215,193496,641157,693531,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.116176655,54.13683283,12,LEITRIM,Liatroim,LEITRIM,,C,Co,N,,110000,LEITRIM,Liatroim,,Leitrim,192455,320866,592408,820874,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.812382659,52.52212042,13,LIMERICK,Luimneach,LIMERICK/LIMERICK CITY,,C,Co,N,,120000,LIMERICK,Luimneach,,Limerick,144907,141458,544869,641505,4,519,FF,2007-05-16T00:00:00.000Z,
-7.720883337,53.72356522,14,LONGFORD,An Longfort,LONGFORD,,C,Co,N,,130000,LONGFORD,An Longfort,,Longford,218474,274896,618421,774914,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.467105187,53.89697402,15,LOUTH,Lú,LOUTH,,C,Co,N,,140000,LOUTH,Lú,,Louth,300818,295251,700747,795264,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.351651329,53.93457766,16,MAYO,Maigh Eo,MAYO,,C,Co,Y,,150000,MAYO,Maigh Eo,,Mayo,111274,299193,511244,799206,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.66770861,53.65768947,17,MEATH,An Mhí,MEATH,,C,Co,Y,,160000,MEATH,An Mhí,,Meath,288131,268353,688063,768372,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.986485043,54.1693401,18,MONAGHAN,Muineachán,MONAGHAN,,C,Co,N,,170000,MONAGHAN,Muineachán,,Monaghan,266242,324953,666179,824960,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.633371149,53.2545169,19,OFFALY,Uíbh Fhailí,OFFALY,,C,Co,N,,180000,OFFALY,Uíbh Fhailí,,Offaly,224520,222718,624465,722747,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.375663063,53.78439977,20,ROSCOMMON,Ros Comáin,ROSCOMMON,,C,Co,N,,190000,ROSCOMMON,Ros Comáin,,Roscommon,175287,281696,575243,781713,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.468909241,54.11181281,21,SLIGO,Sligeach,SLIGO,,C,Co,N,,200000,SLIGO,Sligeach,,Sligo,169381,318176,569339,818185,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.005154258,52.62130565,22,TIPPERARY,Tiobraid Árann,NORTH/SOUTH TIPPERARY,,C,Co,N,,210000,TIPPERARY,Tiobraid Árann,,Tipperary,199700,152185,599651,652230,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.717134343,52.1964468,23,WATERFORD,Port Láirge,WATERFORD/WATERFORD CITY,,C,Co,Y,,220000,WATERFORD,Port Láirge,,Waterford,219392,104945,619338,605000,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.443217579,53.52729932,24,WESTMEATH,An Iarmhí,WESTMEATH,,C,Co,N,,230000,WESTMEATH,An Iarmhí,,Westmeath,236974,253159,636917,753182,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.62341596,52.46509953,25,WEXFORD,Loch Garman,WEXFORD,,C,Co,N,,240000,WEXFORD,Loch Garman,,Wexford,293609,135694,693539,635742,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.410374539,53.00002907,26,WICKLOW,Cill Mhantáin,WICKLOW,,C,Co,N,,250000,WICKLOW,Cill Mhantáin,,Wicklow,306773,195515,706700,695550,4,519,FJF,2007-05-16T00:00:00.000Z,
